,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x,sig_x,sig_y,sig_z,zfunc,yfunc,qyz,cpeak,conc,dose,dinf
4,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,49.6,6.540336934377517,19.04581572539125,7.6977454641437175,0.10365171955695707,0.020946452814282777,2171.1358528190726,132.4332212354726,0.0,723.7119509396788,723.7119509396788
5,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,59.5,7.586694317016741,21.135575110860458,8.662837362427398,0.09210429817687737,0.018875392711525378,1738.5047985079914,91.4183489968706,0.0,579.5015995026625,579.5015995026625
6,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,69.4,8.622164927975783,23.088068183932723,9.581539456236104,0.08327310659228862,0.01727915376995732,1438.8888137102017,66.5765024655386,0.0,479.62960457006704,479.62960457006704
7,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,79.3,9.648249811508885,24.929913305708826,10.462011636086508,0.07626492733059868,0.016002553860068054,1220.4336072420815,50.46330431566211,0.0,406.81120241402715,406.81120241402715
8,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,89.2,10.666094662792467,26.679965648982325,11.31017865236375,0.07054570773888091,0.014952878337631963,1054.861385061628,39.45481638484946,0.0,351.6204616872093,351.6204616872093
9,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,99.10000000000001,11.676601968371516,28.363817673305334,12.198385335630844,0.06540903047153575,0.014065182797197926,919.9899701696396,31.432337733193208,0.0,306.66332338987985,306.66332338987985
10,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,109.0,12.680500545613528,30.29897450761349,13.280524134765455,0.060079297356363276,0.013166857521900187,791.0555483071098,24.88746427876715,0.0,263.6851827690366,263.6851827690366
11,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,118.9,13.678390941139009,32.18287433047936,14.355167616795462,0.05558169574651276,0.012396104720317271,688.9965210065852,20.095188422515736,0.0,229.66550700219506,229.66550700219506
12,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,128.8,14.670776316859136,34.02094688187208,15.422970083417914,0.05173352180612455,0.011726372043278062,606.646523807655,16.49653313351323,0.0,202.21550793588497,202.21550793588497
13,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,138.70000000000002,15.658084186187166,35.81767979680204,16.484483920458363,0.0484021558202695,0.011138138557960196,539.1099180301412,13.735635696460367,0.0,179.70330601004707,179.70330601004707
