,index,x,D0,sig_x,sig_y,sig_z,D0U/Q,coef_y,expon_y,coef_z,expon_z,iwind,istab,wind,stab,how
47,8,3162.2776601683795,0.0584337994309506,272.46746580813414,1335.5482111135375,610.0187719859516,3.907035503160354e-07,1.6490753165057404,0.8309768796527349,0.1604772549250376,1.022837060812247,1,3,0.8,D,fit
48,9,5623.413251903491,0.0203930464914707,465.22672239438015,2154.784237034168,1099.138612680573,1.3439833007293201e-07,3.5387304225454383,0.742548349376197,0.0834866063791578,1.098516175190508,1,3,0.8,D,fit
49,10,10000.0,0.0068725451813312,794.3550346015521,3304.006379646132,2068.623760171769,4.6572305904884824e-08,0.5380275940244093,0.9470590817894518,1.4364661409050576,0.7895965287567408,1,3,0.8,D,fit
50,11,31622.776601683792,0.0009245040127588,2315.872535920197,9830.382535404564,5134.282644010952,6.306667520417294e-09,0.0232077813959197,1.2504303984684404,0.274535630394386,0.9493069013412284,1,3,0.8,D,fit
51,12,100000.0,9.410032e-05,6751.723560636403,41474.9257636537,15315.572085249663,5.011079424089634e-10,,,,,1,3,0.8,D,fit
52,0,1.0,910962.3,0.1522,1.271213703969602,0.0307412966060497,8.145343054808018,1.271213703969602,1.094362341942235,0.0307412966060497,0.2867875410231459,1,5,0.8,F,fit
53,1,3.1622776601683795,284939.3703803649,0.443725770736577,4.481255819367067,0.042767705586097,1.6608654032236791,1.5606697121547952,0.9161774697291976,0.0259457988829955,0.4340978087339432,1,5,0.8,F,fit
54,2,10.0,51693.652778183285,1.2936436242823213,12.86733096837302,0.0704960617843152,0.3509108522229561,2.449444850364008,0.7204208061585832,0.0129175372497752,0.7369851335193888,1,5,0.8,F,fit
55,3,31.6227766016838,8159.251313813145,3.771504692793245,29.49163667497056,0.1646862812193245,0.0655380974075585,4.032159576553557,0.5761074423577489,0.0001113882307368,2.113212078054339,1,5,0.8,F,fit
56,4,100.0,410.61835,10.995491633681334,57.246982005055,1.876132306203111,0.0029636988341654,0.1656532857289141,1.269276270793335,0.0004111905942828,1.829610144992854,1,5,0.8,F,fit
57,5,316.227766016838,15.549984762959948,32.05639290264675,246.82590128024256,15.419437620993907,8.363553925075005e-05,5.150571503826993,0.6722141243116555,1.6728628145095603,0.3858432827569914,1,5,0.8,F,fit
58,6,1000.0,3.3408679869769244,93.45760609567321,535.1774349140076,24.043084111627007,2.473786173808922e-05,5.596629553738613,0.6601904107240206,0.0648701867943503,0.8563150090902133,1,5,0.8,F,fit
59,7,1778.2794100389228,1.5614604,159.57492626782852,782.6100061897342,39.3612541790315,1.0333223023452453e-05,7.896778821710763,0.6141832068223023,0.3494385480947586,0.6312917279436594,1,5,0.8,F,fit
60,8,3162.2776601683795,0.7504340576965157,272.46746580813414,1114.5285502855777,56.60983121503847,5.045068522574857e-06,5.71614788784063,0.6542822119269203,0.2484453646424609,0.6736174176251056,1,5,0.8,F,fit
61,9,5623.413251903491,0.3505027918843544,465.22672239438015,1624.2831948286246,83.42499982632413,2.349049464145168e-06,33.955373260620576,0.4479341979043432,0.6702033530699631,0.5586905648307011,1,5,0.8,F,fit
62,10,10000.0,0.1925690101460562,794.3550346015521,2102.060931175424,115.07178650601364,1.3159396454877295e-06,1.4605808702237395,0.7895299230706962,1.646855337435619,0.4610783509871585,1,5,0.8,F,fit
63,11,31622.776601683792,0.043399247,2315.872535920197,5216.872972294876,195.662695022356,3.11840008878899e-07,0.0009427396742512,1.4984485506067209,3.0446327847231376,0.4017718025679749,1,5,0.8,F,fit
64,12,100000.0,0.0059722963999999,6751.723560636403,29284.27910066905,310.7376896465892,3.4980149201541885e-08,,,,,1,5,0.8,F,fit
65,0,1.0,912043.87,0.1522,1.3618854135855532,0.0299774624865419,7.796769420608441,1.3618854135855532,1.0048642278202184,0.0299774624865419,0.2967620999148632,1,6,0.8,G,fit
66,1,3.1622776601683795,287041.48851474107,0.443725770736577,4.330845415042194,0.0421867353148526,1.7422141104959423,1.3161390943471467,1.0345417856113517,0.0295871251966869,0.308146297430197,1,6,0.8,G,fit
67,2,10.0,55346.48138752902,1.2936436242823213,14.250942084731385,0.0601518608075084,0.3713278177734302,2.8235881008905666,0.7030422320966035,0.0128869033507126,0.6691004954477547,1,6,0.8,G,fit
68,3,31.6227766016838,10195.76358228907,3.771504692793245,32.01582453944057,0.1299568914623259,0.0765043485772495,3.376481930692464,0.6512668408332927,0.0006043213158495,1.555020934306557,1,6,0.8,G,fit
69,4,100.0,787.7094,10.995491633681334,67.76385610854454,0.778591721551824,0.006033123755953,0.4442762857129631,1.0916724896095726,2.168596342890748e-05,2.277565530342223,1,6,0.8,G,fit
70,5,316.227766016838,22.22827200893821,32.05639290264675,238.1411005752292,10.717476672424242,0.0001247163017209,3.3123052873300165,0.742681599419049,0.20476135073037,0.6875378244574437,1,6,0.8,G,fit
