ID,istab,wind,x,y,z,icurve,t,sig_x,sig_y,sig_z, zfunc, cpeak, concentration, dinf, dose
218,3,3,168.4,0,6.93309e-310,2,5000,22.0315,41.9689,20.1996,0.0395,-999,0,-999,125.158
219,3,3,178.3,0,6.93309e-310,2,5000,22.9896,43.6167,21.2377,0.0375693,-999,0,-999,114.543
220,3,3,188.2,0,6.93309e-310,2,5000,23.9447,45.2384,22.2714,0.0358255,-999,0,-999,105.311
221,3,3,198.1,0,6.93309e-310,2,5000,24.8969,46.8358,23.3011,0.0342424,-999,0,-999,97.2245
222,3,3,208,0,6.93309e-310,2,5000,25.8464,48.4102,24.3268,0.0327985,-999,0,-999,90.0961
223,3,3,217.9,0,6.93309e-310,2,5000,26.7932,49.9632,25.3489,0.0314761,-999,0,-999,83.7759
224,3,3,227.8,0,6.93309e-310,2,5000,27.7374,51.4959,26.3675,0.0302602,-999,0,-999,78.1425
225,3,3,237.7,0,6.93309e-310,2,5000,28.6793,53.0095,27.3827,0.0291383,-999,0,-999,73.0969
226,3,3,247.6,0,6.93309e-310,2,5000,29.6187,54.5048,28.3947,0.0280998,-999,0,-999,68.5577
227,3,3,257.5,0,6.93309e-310,2,5000,30.556,55.9829,29.4036,0.0271356,-999,0,-999,64.4573
228,3,3,267.4,0,6.93309e-310,2,5000,31.491,57.4446,30.4096,0.0262379,-999,0,-999,60.7391
229,3,3,277.3,0,6.93309e-310,2,5000,32.424,58.8907,31.4128,0.0254,-999,0,-999,57.3557
230,3,3,287.2,0,6.93309e-310,2,5000,33.3549,60.3217,32.4132,0.0246161,-999,0,-999,54.2667
231,3,3,297.1,0,6.93309e-310,2,5000,34.2838,61.7385,33.411,0.0238809,-999,0,-999,51.438
232,3,3,307,0,6.93309e-310,2,5000,35.2108,63.1415,34.4062,0.0231901,-999,0,-999,48.8402
233,3,3,316.9,0,6.93309e-310,2,5000,36.136,64.6615,35.4384,0.0225147,-999,0,-999,46.303
234,3,3,326.8,0,6.93309e-310,2,5000,37.0594,66.208,36.4716,0.0218769,-999,0,-999,43.9404
235,3,3,336.7,0,6.93309e-310,2,5000,37.9811,67.7447,37.5035,0.0212749,-999,0,-999,41.762
236,3,3,346.6,0,6.93309e-310,2,5000,38.901,69.272,38.5343,0.0207058,-999,0,-999,39.7488
237,3,3,356.5,0,6.93309e-310,2,5000,39.8193,70.7901,39.5639,0.020167,-999,0,-999,37.8842
